Estación;Valor Medio de;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
JUJUY AERO;temperatura;23.6;22.5;21.4;18.3;14.8;12.2;11.9;15.0;17.8;21.7;23.0;23.8
IGUAZÚ AERO;temperatura;25.6;24.9;24.2;21.4;17.6;15.9;15.7;17.6;19.1;21.9;23.5;25.0
TUCUMÁN AERO;temperatura;25.2;24.0;22.6;19.2;15.7;12.7;12.2;14.9;17.8;21.8;23.4;24.9
RESISTENCIA AERO;temperatura;26.8;25.9;24.6;21.2;17.6;15.4;14.8;16.7;18.5;21.8;23.6;25.8
CORRIENTES AERO;temperatura;27.0;26.0;24.7;21.4;18.0;15.9;15.2;17.0;18.5;21.8;23.7;25.8
POSADAS AERO;temperatura;27.0;26.2;25.1;21.9;18.3;16.5;16.1;17.9;19.2;22.3;24.2;26.3
RECONQUISTA AERO;temperatura;26.4;25.2;23.7;20.0;16.7;14.1;13.4;15.4;17.1;20.6;22.9;25.0
PASO DE LOS LIBRES AERO;temperatura;26.2;25.0;23.6;19.9;16.3;13.9;13.4;15.3;16.7;20.1;22.5;25.0
SAN JUAN AERO;temperatura;27.1;25.5;22.8;17.2;12.2;8.3;7.7;10.6;14.4;19.8;23.4;26.3
CÓRDOBA AERO;temperatura;23.4;22.2;20.7;17.2;13.7;10.7;10.0;12.5;14.9;18.6;20.9;22.9
PARANÁ AERO;temperatura;25.1;23.6;22.0;18.0;14.8;12.0;11.3;13.2;15.1;18.5;21.3;23.6
CONCORDIA AERO;temperatura;25.8;24.4;22.8;18.8;15.3;12.7;12.2;14.1;15.7;19.1;21.7;24.2
SAN MARTÍN (MZA);temperatura;24.6;23.2;20.5;15.6;11.3;8.0;7.5;10.2;13.3;18.0;21.3;23.9
MENDOZA AERO;temperatura;25.5;24.0;21.3;16.2;11.8;8.4;7.9;10.6;13.9;18.8;22.2;24.9
RÍO CUARTO AERO;temperatura;22.9;21.8;20.1;16.3;12.7;9.7;8.9;11.0;13.6;17.4;20.1;22.2
ROSARIO AERO;temperatura;24.6;23.2;21.4;17.3;13.8;10.7;10.0;12.1;14.5;18.1;21.0;23.4
GUALEGUAYCHÚ AERO;temperatura;25.1;23.7;22.0;17.8;14.2;11.3;10.7;12.8;14.7;18.0;20.9;23.4
MALARGÜE AERO;temperatura;20.0;18.7;16.2;11.3;7.1;4.6;3.6;5.5;8.2;12.6;16.0;19.0
SAN RAFAEL AERO;temperatura;23.3;22.0;19.3;14.5;10.5;7.7;6.9;9.0;11.8;16.3;19.6;22.4
LABOULAYE AERO;temperatura;23.1;21.9;19.9;15.8;12.2;8.9;8.1;10.2;12.8;16.6;19.6;22.2
JUNÍN AERO;temperatura;23.0;21.7;19.7;15.8;12.4;9.3;8.6;10.7;12.9;16.3;19.4;22.0
NUEVE DE JULIO;temperatura;23.5;22.1;19.8;15.8;12.2;9.2;8.7;10.7;13.1;16.2;19.5;22.2
AEROPARQUE AERO;temperatura;24.5;23.5;22.0;18.2;15.0;12.0;11.2;12.7;14.4;17.7;20.3;22.9
SANTA ROSA AERO;temperatura;23.6;22.1;19.5;14.9;11.0;7.9;7.2;9.5;12.1;15.9;19.4;22.5
NEUQUÉN AERO;temperatura;23.7;22.3;18.9;13.4;9.2;6.6;5.8;8.1;11.4;15.6;19.4;22.4
BARILOCHE AERO;temperatura;15.0;14.8;11.9;7.9;4.9;2.9;2.1;3.0;5.1;8.0;10.8;13.5
VIEDMA AERO;temperatura;22.1;20.8;18.3;13.8;9.9;7.2;6.6;8.2;10.5;14.3;17.7;20.6
ESQUEL AERO;temperatura;15.1;15.0;12.3;8.2;4.9;2.4;1.5;3.2;5.5;8.4;11.2;13.6
TRELEW AERO;temperatura;21.5;20.3;17.6;13.3;9.2;6.2;5.8;7.7;10.4;14.1;17.4;20.0
RÍO GALLEGOS AERO;temperatura;13.8;13.2;10.8;7.6;4.2;1.4;1.2;3.1;5.7;8.4;11.1;12.8
RÍO GRANDE B.A.;temperatura;10.9;10.3;8.1;5.5;2.6;-0.1;-0.2;1.4;3.5;6.2;8.4;10.0
