indice_tiempo,leche_cruda_precio_promedio_kg
2011-01,1.419
2011-02,1.491
2011-03,1.539
2011-04,1.567
2011-05,1.543
2011-06,1.543
2011-07,1.514
2011-08,1.497
2011-09,1.496
2011-10,1.483
2011-11,1.48
2011-12,1.474
2012-01,1.504
2012-02,1.528
2012-03,1.568
2012-04,1.587
2012-05,1.587
2012-06,1.581
2012-07,1.58
2012-08,1.556
2012-09,1.543
2012-10,1.552
2012-11,1.584
2012-12,1.634
2013-01,1.725
2013-02,1.809
2013-03,1.942
2013-04,2.038
2013-05,2.075
2013-06,2.108
2013-07,2.138
2013-08,2.147
2013-09,2.169
2013-10,2.197
2013-11,2.25
2013-12,2.301
2014-01,2.465
2014-02,2.69
2014-03,2.794
2014-04,2.943
2014-05,2.973
2014-06,3.062
2014-07,3.146
2014-08,3.112
2014-09,3.153
2014-10,3.175
2014-11,3.249
2014-12,3.219
2015-01,3.173
2015-02,3.25
2015-03,3.228
2015-04,3.281
2015-05,3.256
2015-06,3.188
2015-07,3.066
2015-08,2.835
2015-09,2.68
2015-10,2.682
2015-11,2.596
2015-12,2.575
2016-01,2.75
2016-02,2.806
2016-03,2.89
2016-04,3.347
2016-05,3.961
2016-06,4.121
2016-07,4.194
2016-08,4.266
2016-09,4.377
2016-10,4.428
2016-11,4.525
2016-12,4.71
2017-01,4.949
2017-02,5.076
